JobTitle,Company,Location,Experience,Degree,Summary,Salary,JobUrl,PostDate,ExtractDate
運維工程師 ,風臨科技有限公司,台北市內湖區,1年以上,高中,7.python腳本運維自動化開發8.完善系統架構與日常運維等相關文檔9.完成主管交辦事項**每年都會有提升薪資機會；能力越高調整幅度越多**----到職前3個月為教育訓練期/實行後台模擬訓練----,"月薪40,000~100,000元",https://www.104.com.tw/job/7gucr?jobsource=jolist_c_relevance,1/05,2022-01-11
資料庫應用開發工程師,艾果實境股份有限公司,台北市松山區,2年以上,大學,"洗和排程管理<技能需求> 需要依需求學習應用新技術- 熟悉其一 PHP，Node.js, Python, C#, C/C++等相關程式語言與開發工具或其他數據分析工具。- 熟悉其一 MySQL，MongoDB，SQL Server 等資料","月薪50,000~60,000元",https://www.104.com.tw/job/78stw?jobsource=jolist_c_relevance,1/09,2022-01-11
軟體工程師,知微科技股份有限公司,台北市信義區,3年以上,大學,「知微科技」的共同創辦人來自於 Google， 因此公司有著一樣扁平化管理，讓團隊保持靈活、創新以及活潑。 我們有著深厚的開發動能以及對網路的熱情， 樂於分享的文化讓每個團隊成員都會發現自己每天都會學到新的東西，高速的成長著。 我們相信能自身管理的人才能做好工作，因此尊重每個人的工作彈性。 我們希望能找到有著同樣理想及熱情的夥伴加入。工作內容開發產品：如新增分析工具介面及資料庫設計撰寫工具：如撰寫 BASH script 自動化部署流程解決問題：如透過使用者回饋，找尋最佳解決方案數據分析：如使用 Mapreduce 整合分析上千萬筆物件、門牌和土地資料,"月薪55,000~90,000元",https://www.104.com.tw/job/7bsc1?jobsource=jolist_c_relevance,1/10,2022-01-11
數據分析師,勤崴國際科技股份有限公司,台北市中正區,經歷不拘,大學,"【工作摘要】〔Data Engineer〕- Develop, operate, and monitor ETL for data collection, cleansing, processing, storage, and analytics- Automate common data process tasks and support data analysis tasks- Develop data visualization to track data usage, server status, and represent data insights- Write documents for architecture design and implementation",,https://www.104.com.tw/job/7bep4?jobsource=jolist_c_relevance,1/05,2022-01-11
AI模型訓練實習工讀生,元鑫國際股份有限公司,台北市松山區,經歷不拘,大學,1. 數據、人工智慧有興趣者2. 需要懂得Python 和Deep Learning 3. 為環保回收業相關數據建置人工智慧模型基礎4. 負責任並有良好的溝通能力與團隊合作能力 5. 具基本英文閱讀能力一週進公司2~3日由資深同仁帶領,時薪250~350元,https://www.104.com.tw/job/6u4nm?jobsource=jolist_c_relevance,1/05,2022-01-11
【視訊面談年後轉職】資訊_NLP深度學習工程師（Deep Learning Engineer）,中信金控_台灣人壽保險股份有限公司,台北市南港區,2年以上,大學,"工作內容：1. 使用深度學習演算法與模型導入專案2. 模型開發, 調整, 調參3. 訓練資料蒐集, 前處理與後處理4. 依專案需求優化模型工作技能與條件：1. 二年(含以上)Python開發經驗。2. 二年(含以上)NLP模型開發",,https://www.104.com.tw/job/77dr3?jobsource=jolist_c_relevance,1/07,2022-01-11
新創社群電商/數據分析師/視訊面試/可年後到職,美賣科技股份有限公司,台北市中正區,2年以上,大學,Analytics 網站流量數據。串接方式為運用 Python 串接各方 API，根據營運場景給予報表。4. 每雙週會透過迷你工作坊，將數據分析成果與營銷團隊分享。5. 團隊同事很忙，已開發一些迷你 Slack 通知服務，針對各個營銷團隊職能,"年薪600,000~910,000元",https://www.104.com.tw/job/7azmv?jobsource=jolist_c_relevance,1/07,2022-01-11
Software Engineer (Remote),NOVELSHIP_奇運科技資訊有限公司,台北市松山區,3年以上,大學,Requirements:-Bachelor degree in a relevant technical field preferred-Proficient in Python and/or Javascript-Able to navigate,"月薪50,000~70,000元",https://www.104.com.tw/job/7hr35?jobsource=jolist_c_relevance,1/06,2022-01-11
系統軟體工程師 /Software engineer,荷蘭商萊博智科技股份有限公司台灣分公司,台北市南港區,經歷不拘,專科,"Job Description:-	Develop, debug, maintain automation test codes and tools with Python, CQualification:-	Familiarity",,https://www.104.com.tw/job/7f6ff?jobsource=jolist_c_relevance,1/10,2022-01-11
商業分析師,第一產物保險股份有限公司,台北市中正區,經歷不拘,大學,"，並蒐集內外部相關資料，釐清需求以訂立專案目標與方向3.透過數據分析方法及工具(如:Python,SQL,GA...等)釐清問題，並發想可行的解決方案4.製作相關報告與成效分析表，包含：提案簡報、成效分析、自動化報表...等","月薪29,000~38,000元",https://www.104.com.tw/job/7awod?jobsource=jolist_c_relevance,1/05,2022-01-11
QA 品管/品保工程師,傑航網路科技有限公司,台北市南港區,3年以上,專科,"1.依據功能與需求,制定測試策略,進行測試架構及計畫2.撰寫test plan，test case與維護3.撰寫測試報告4.主管交辦事項","月薪55,000~70,000元",https://www.104.com.tw/job/7gfus?jobsource=jolist_c_relevance,1/11,2022-01-11
RD10431 機器學習主管,華碩電腦股份有限公司,台北市北投區,5年以上,碩士,1.透過機器學習與大數據，進行企業內部各類資料分析及問題偵測2.運用演算法建立模型及優化，機器深度學習3.企業內部應用軟體專案計畫開發4.依據專案運用演算法解決企業內部資訊相關議題5.熟悉 Python 程式語言6. 熟悉統計,,https://www.104.com.tw/job/7f019?jobsource=jolist_c_relevance,11/09,2022-01-11
台北總公司 全職 行銷部 CRM資料分析副理/ 資深專員   CRM Data Associate Manager/ Sr. Data Analyst,法商家樂福總公司_家福股份有限公司,台北市北投區,3年以上,大學,analysis (ii) Member list exportation and (iii) Member campaign creation• 使用SQL語法進行資料處理，並結合Python或R語言做會員分群、RFM模型等更深入分析 Use SQL,,https://www.104.com.tw/job/6wdap?jobsource=jolist_c_relevance,12/30,2022-01-11
資訊助理,財團法人農業科技研究院,台北市中正區,經歷不拘,大學,【工作職缺】資訊助理【工作內容】1.	維護重要農產品每日價量平台2.	農業統計資料庫彙整3. 	支援農業統計調查（報表輸出）【徵求條件】1.	熟悉Python及Django框架2.	熟悉Github3.	具SQL使用或撰寫經,"月薪34,000~45,000元",https://www.104.com.tw/job/6i7up?jobsource=jolist_d_relevance,1/06,2022-01-11
Project Manager (軟體專案管理主管）,駿隆科技平台股份有限公司,台北市內湖區,5年以上,大學,Gain Miles; One of the Top Pension Management Consulting and Investment Services Company in HK is looking for Senior Project management to serve the overall System Application Development Functions located in the Taiwan Subsidiary. Job description:1)The incumbent is to manage the overall Project Development and to Identify User Requirement2)It requires to communicate with the Front & Back-end Coding Engineering on the overall design and business logic requirement. 3)Also need to communicate with various level of internal/external stake holders for business /functional analysis and to understand the business need and the necessary enhancement of the workflow to enhance the overall efficiency and effectiveness of the application system. 4)The incumbent is expected to work independently after the business learning phase to drive for the System Development budget and deliverable.,"年薪1,300,000元以上",https://www.104.com.tw/job/6w76x?jobsource=jolist_d_relevance,1/06,2022-01-11
(Sr./Jr.) Backend Developer 後端工程師 (新專案),數位火箭有限公司,台北市信義區,經歷不拘,大學,", deadlines and deliverablesQualification:1. 2+ year backend experience.2. Experienced in Python, Flask/Django,",,https://www.104.com.tw/job/7ejc5?jobsource=jolist_d_relevance,12/28,2022-01-11
Senior Backend Engineer,GoFreight_聖學科技股份有限公司,台北市中山區,3年以上,大學,python based web systems- Communication: Work with our team member to implement new feature or fix issue- Responsibility: Work,"年薪2,500,000~4,000,000元",https://www.104.com.tw/job/7czt1?jobsource=jolist_d_relevance,1/05,2022-01-11
Software Engineer (Remote),NOVELSHIP_奇運科技資訊有限公司,台北市松山區,3年以上,大學,Requirements:-Bachelor degree in a relevant technical field preferred-Proficient in Python and/or Javascript-Able to navigate,"月薪50,000~70,000元",https://www.104.com.tw/job/7hr35?jobsource=jolist_d_relevance,1/06,2022-01-11
